"Date","Price","Open","High","Low","Vol.","Change %"
"04/29/2020","0.043","0.043","0.043","0.042","1.96M","0.00%"
"04/28/2020","0.043","0.044","0.044","0.041","5.41M","-4.44%"
"04/27/2020","0.045","0.045","0.045","0.041","1.07M","0.00%"
"04/24/2020","0.045","0.044","0.045","0.042","1.49M","2.27%"
"04/23/2020","0.044","0.043","0.046","0.042","2.90M","2.33%"
"04/22/2020","0.043","0.041","0.043","0.040","3.49M","7.50%"
"04/21/2020","0.040","0.041","0.044","0.040","5.30M","-6.98%"
"04/20/2020","0.043","0.050","0.050","0.039","32.74M","-15.69%"
"04/17/2020","0.051","0.056","0.062","0.050","17.50M","-8.93%"
"04/16/2020","0.056","0.068","0.068","0.053","17.36M","-18.84%"
"04/15/2020","0.069","0.077","0.077","0.068","8.55M","-12.66%"
"04/14/2020","0.079","0.081","0.085","0.050","35.90M","-31.30%"
"04/09/2020","0.115","0.105","0.115","0.105","941.79K","9.52%"
"04/08/2020","0.105","0.110","0.110","0.105","504.11K","0.00%"
"04/07/2020","0.105","0.110","0.110","0.100","1.30M","-4.55%"
"04/06/2020","0.110","0.099","0.110","0.099","736.18K","12.24%"
"04/03/2020","0.098","0.099","0.105","0.098","1.84M","3.16%"
"04/02/2020","0.095","0.093","0.099","0.091","649.97K","1.06%"
"04/01/2020","0.094","0.097","0.099","0.091","580.14K","-3.09%"
"03/31/2020","0.097","0.081","0.099","0.081","2.81M","15.48%"
"03/30/2020","0.084","0.082","0.092","0.082","1.48M","3.70%"
"03/27/2020","0.081","0.110","0.110","0.080","3.94M","-18.18%"
"03/18/2020","0.099","0.091","0.100","0.087","3.22M","10.00%"
"03/17/2020","0.090","0.090","0.091","0.084","2.32M","0.00%"
"03/16/2020","0.090","0.100","0.100","0.088","1.30M","-1.10%"
"03/13/2020","0.091","0.100","0.105","0.087","2.56M","-9.00%"
"03/12/2020","0.100","0.105","0.110","0.100","1.86M","-4.76%"
"03/11/2020","0.105","0.110","0.120","0.105","1.42M","-4.55%"
"03/10/2020","0.110","0.110","0.120","0.110","1.78M","-4.35%"
"03/09/2020","0.115","0.125","0.130","0.115","1.72M","-11.54%"